DEVICE_ID,DEVICE_NAME,VENDOR,MODEL,ROLE,SITE_ID,MANAGEMENT_IP,SOFTWARE_RELEASE,IS_APPROVED_TRAIN,IS_VERSION_DRIFT_OUTLIER,ACTIVE_DEFECTS_COUNT,DEFECTS_JSON,SERVICES_COUNT,SUBSCRIBERS_COUNT,OPER_STATUS,LAST_AUDITED_AT
dev:mx960-gldt,GLDT-CORE-01,Juniper,MX960,core,site:gldt,10.56.91.67,24.4R1-S3.6,True,False,0,[],24,24,ONLINE,2026-09-01T12:36:15.948965
dev:mx304-sang,SANG-AGG-01,Juniper,MX304,aggregation,site:sang,10.58.208.119,22.3R3,False,True,0,[],6,6,WARNING,2026-09-01T12:36:15.949136
dev:mx304-02,AGG-02,Juniper,MX304,aggregation,site:05,10.54.147.244,23.4R2,True,False,2,"[{""id"": ""def:evpn-qinq"", ""symptom"": ""VLAN-in-VLAN over EVPN affects cell-tower circuits"", ""severity"": ""high"", ""case"": ""case:jnpr-evpn-qinq""}, {""id"": ""def:acx-234-locker"", ""symptom"": ""Junos 23.4 breaks Locker and CO AP services on ACX 5448D"", ""severity"": ""high"", ""case"": null}]",1,1,WARNING,2026-09-01T12:36:15.949312
dev:mx304-03,AGG-03,Juniper,MX304,aggregation,site:06,10.51.56.37,23.4R2,True,False,2,"[{""id"": ""def:evpn-qinq"", ""symptom"": ""VLAN-in-VLAN over EVPN affects cell-tower circuits"", ""severity"": ""high"", ""case"": ""case:jnpr-evpn-qinq""}, {""id"": ""def:acx-234-locker"", ""symptom"": ""Junos 23.4 breaks Locker and CO AP services on ACX 5448D"", ""severity"": ""high"", ""case"": null}]",1,1,WARNING,2026-09-01T12:36:15.949868
dev:mx304-04,AGG-04,Juniper,MX304,aggregation,site:07,10.46.150.139,23.4R2,True,False,2,"[{""id"": ""def:evpn-qinq"", ""symptom"": ""VLAN-in-VLAN over EVPN affects cell-tower circuits"", ""severity"": ""high"", ""case"": ""case:jnpr-evpn-qinq""}, {""id"": ""def:acx-234-locker"", ""symptom"": ""Junos 23.4 breaks Locker and CO AP services on ACX 5448D"", ""severity"": ""high"", ""case"": null}]",1,1,WARNING,2026-09-01T12:36:15.949993
dev:mx304-05,AGG-05,Juniper,MX304,aggregation,site:08,10.54.28.195,23.4R2,True,False,2,"[{""id"": ""def:evpn-qinq"", ""symptom"": ""VLAN-in-VLAN over EVPN affects cell-tower circuits"", ""severity"": ""high"", ""case"": ""case:jnpr-evpn-qinq""}, {""id"": ""def:acx-234-locker"", ""symptom"": ""Junos 23.4 breaks Locker and CO AP services on ACX 5448D"", ""severity"": ""high"", ""case"": null}]",1,1,WARNING,2026-09-01T12:36:15.950090
dev:mx304-06,AGG-06,Juniper,MX304,aggregation,site:09,10.56.191.34,23.4R2,True,False,2,"[{""id"": ""def:evpn-qinq"", ""symptom"": ""VLAN-in-VLAN over EVPN affects cell-tower circuits"", ""severity"": ""high"", ""case"": ""case:jnpr-evpn-qinq""}, {""id"": ""def:acx-234-locker"", ""symptom"": ""Junos 23.4 breaks Locker and CO AP services on ACX 5448D"", ""severity"": ""high"", ""case"": null}]",1,1,WARNING,2026-09-01T12:36:15.950183
dev:mx304-07,AGG-07,Juniper,MX304,aggregation,site:10,10.55.155.43,23.4R2,True,False,2,"[{""id"": ""def:evpn-qinq"", ""symptom"": ""VLAN-in-VLAN over EVPN affects cell-tower circuits"", ""severity"": ""high"", ""case"": ""case:jnpr-evpn-qinq""}, {""id"": ""def:acx-234-locker"", ""symptom"": ""Junos 23.4 breaks Locker and CO AP services on ACX 5448D"", ""severity"": ""high"", ""case"": null}]",1,1,WARNING,2026-09-01T12:36:15.950336
dev:mx304-08,AGG-08,Juniper,MX304,aggregation,site:03,10.51.31.217,23.4R2,True,False,2,"[{""id"": ""def:evpn-qinq"", ""symptom"": ""VLAN-in-VLAN over EVPN affects cell-tower circuits"", ""severity"": ""high"", ""case"": ""case:jnpr-evpn-qinq""}, {""id"": ""def:acx-234-locker"", ""symptom"": ""Junos 23.4 breaks Locker and CO AP services on ACX 5448D"", ""severity"": ""high"", ""case"": null}]",1,1,WARNING,2026-09-01T12:36:15.951065
dev:mx304-09,AGG-09,Juniper,MX304,aggregation,site:04,10.45.101.95,23.4R2,True,False,2,"[{""id"": ""def:evpn-qinq"", ""symptom"": ""VLAN-in-VLAN over EVPN affects cell-tower circuits"", ""severity"": ""high"", ""case"": ""case:jnpr-evpn-qinq""}, {""id"": ""def:acx-234-locker"", ""symptom"": ""Junos 23.4 breaks Locker and CO AP services on ACX 5448D"", ""severity"": ""high"", ""case"": null}]",1,1,WARNING,2026-09-01T12:36:15.951238
dev:acx-gldt-a,GLDT-A,Juniper,ACX 5448D,access,site:gldt,10.45.87.64,21.4R3,False,True,0,[],0,0,WARNING,2026-09-01T12:36:15.951335
dev:acx-sang-a,San Angelo-A,Juniper,ACX 5448D,access,site:sang,10.43.222.214,21.4R3,False,True,0,[],0,0,WARNING,2026-09-01T12:36:15.951402
dev:acx-03,ACX-03,Juniper,ACX 5448D,access,site:06,10.53.151.18,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.951464
dev:acx-04,ACX-04,Juniper,ACX 5448D,access,site:07,10.41.134.52,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.951568
dev:acx-05,ACX-05,Juniper,ACX 5448D,access,site:08,10.46.183.44,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.951843
dev:acx-06,ACX-06,Juniper,ACX 5448D,access,site:09,10.56.103.20,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.951946
dev:acx-07,ACX-07,Juniper,ACX 5448D,access,site:10,10.42.155.23,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952029
dev:acx-08,ACX-08,Juniper,ACX 5448D,access,site:03,10.45.98.153,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952123
dev:acx-09,ACX-09,Juniper,ACX 5448D,access,site:04,10.44.235.105,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952312
dev:acx-10,ACX-10,Juniper,ACX 5448D,access,site:05,10.54.127.234,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952393
dev:acx-11,ACX-11,Juniper,ACX 5448D,access,site:06,10.48.106.110,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952458
dev:acx-12,ACX-12,Juniper,ACX 5448D,access,site:07,10.54.212.100,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952517
dev:acx-13,ACX-13,Juniper,ACX 5448D,access,site:08,10.58.49.198,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952577
dev:acx-14,ACX-14,Juniper,ACX 5448D,access,site:09,10.43.50.58,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952637
dev:acx-15,ACX-15,Juniper,ACX 5448D,access,site:10,10.42.204.208,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952700
dev:acx-16,ACX-16,Juniper,ACX 5448D,access,site:03,10.44.26.204,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952760
dev:acx-17,ACX-17,Juniper,ACX 5448D,access,site:04,10.45.58.50,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952827
dev:acx-18,ACX-18,Juniper,ACX 5448D,access,site:05,10.41.35.133,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.952890
dev:acx-19,ACX-19,Juniper,ACX 5448D,access,site:06,10.50.105.68,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.953703
dev:acx-20,ACX-20,Juniper,ACX 5448D,access,site:07,10.57.28.148,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.954297
dev:acx-21,ACX-21,Juniper,ACX 5448D,access,site:08,10.57.140.191,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.954381
dev:acx-22,ACX-22,Juniper,ACX 5448D,access,site:09,10.52.49.157,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.954449
dev:acx-23,ACX-23,Juniper,ACX 5448D,access,site:10,10.53.176.92,22.4R3-S7.5,True,False,0,[],0,0,ONLINE,2026-09-01T12:36:15.954515
