PORT_ID,DEVICE_ID,PORT_NAME,SPEED_GBPS,OPER_STATE,ADMIN_STATE,OPTIC_TYPE,OPTIC_TEMP_C
port:mx960-gldt:et-0/0/0,dev:mx960-gldt,et-0/0/0,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/1,dev:mx960-gldt,et-0/0/1,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/2,dev:mx960-gldt,et-0/0/2,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/3,dev:mx960-gldt,et-0/0/3,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/4,dev:mx960-gldt,et-0/0/4,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/5,dev:mx960-gldt,et-0/0/5,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/6,dev:mx960-gldt,et-0/0/6,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/7,dev:mx960-gldt,et-0/0/7,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/8,dev:mx960-gldt,et-0/0/8,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/9,dev:mx960-gldt,et-0/0/9,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/10,dev:mx960-gldt,et-0/0/10,400,up,up,10G-SR,38.5
port:mx960-gldt:et-0/0/11,dev:mx960-gldt,et-0/0/11,400,up,up,10G-SR,38.5
port:mx304-sang:et-0/0/0,dev:mx304-sang,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-sang:et-0/0/1,dev:mx304-sang,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-sang:et-0/0/2,dev:mx304-sang,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-sang:et-0/0/3,dev:mx304-sang,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-sang:xe-0/1/0,dev:mx304-sang,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-sang:xe-0/1/1,dev:mx304-sang,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-sang:xe-0/1/2,dev:mx304-sang,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-sang:xe-0/1/3,dev:mx304-sang,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-sang:xe-0/1/4,dev:mx304-sang,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-sang:xe-0/1/5,dev:mx304-sang,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-sang:xe-0/1/6,dev:mx304-sang,xe-0/1/6,10,up,up,10G-SR,38.5
port:mx304-sang:xe-0/1/7,dev:mx304-sang,xe-0/1/7,10,up,up,10G-SR,38.5
port:mx304-02:et-0/0/0,dev:mx304-02,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-02:et-0/0/1,dev:mx304-02,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-02:et-0/0/2,dev:mx304-02,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-02:et-0/0/3,dev:mx304-02,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-02:xe-0/1/0,dev:mx304-02,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-02:xe-0/1/1,dev:mx304-02,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-02:xe-0/1/2,dev:mx304-02,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-02:xe-0/1/3,dev:mx304-02,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-02:xe-0/1/4,dev:mx304-02,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-02:xe-0/1/5,dev:mx304-02,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-02:xe-0/1/6,dev:mx304-02,xe-0/1/6,10,up,up,10G-SR,38.5
port:mx304-02:xe-0/1/7,dev:mx304-02,xe-0/1/7,10,up,up,10G-SR,38.5
port:mx304-03:et-0/0/0,dev:mx304-03,et-0/0/0,100,up,up,100G-LR4,38.5
port:mx304-03:et-0/0/1,dev:mx304-03,et-0/0/1,100,up,up,100G-LR4,38.5
port:mx304-03:et-0/0/2,dev:mx304-03,et-0/0/2,100,up,up,100G-LR4,38.5
port:mx304-03:et-0/0/3,dev:mx304-03,et-0/0/3,100,up,up,100G-LR4,38.5
port:mx304-03:xe-0/1/0,dev:mx304-03,xe-0/1/0,10,up,up,10G-SR,38.5
port:mx304-03:xe-0/1/1,dev:mx304-03,xe-0/1/1,10,up,up,10G-SR,38.5
port:mx304-03:xe-0/1/2,dev:mx304-03,xe-0/1/2,10,up,up,10G-SR,38.5
port:mx304-03:xe-0/1/3,dev:mx304-03,xe-0/1/3,10,up,up,10G-SR,38.5
port:mx304-03:xe-0/1/4,dev:mx304-03,xe-0/1/4,10,up,up,10G-SR,38.5
port:mx304-03:xe-0/1/5,dev:mx304-03,xe-0/1/5,10,up,up,10G-SR,38.5
port:mx304-03:xe-0/1/6,dev:mx304-03,xe-0/1/6,10,up,up,10G-SR,38.5
