SUBSCRIBER_ID,SUBSCRIBER_NAME,ACCOUNT_TYPE,PRIMARY_SITE_ID,ACTIVE_CIRCUITS_COUNT,MONTHLY_RECURRING_REVENUE_USD,STATUS
sub:olt-xg01-0-00,Account #olt-xg01-0-00,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-01,Account #olt-xg01-0-01,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-02,Account #olt-xg01-0-02,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-03,Account #olt-xg01-0-03,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-04,Account #olt-xg01-0-04,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-05,Account #olt-xg01-0-05,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-06,Account #olt-xg01-0-06,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-07,Account #olt-xg01-0-07,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-08,Account #olt-xg01-0-08,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-09,Account #olt-xg01-0-09,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-10,Account #olt-xg01-0-10,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-11,Account #olt-xg01-0-11,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-12,Account #olt-xg01-0-12,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-13,Account #olt-xg01-0-13,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-14,Account #olt-xg01-0-14,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-15,Account #olt-xg01-0-15,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-16,Account #olt-xg01-0-16,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-17,Account #olt-xg01-0-17,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-18,Account #olt-xg01-0-18,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-19,Account #olt-xg01-0-19,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-20,Account #olt-xg01-0-20,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-21,Account #olt-xg01-0-21,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-22,Account #olt-xg01-0-22,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-23,Account #olt-xg01-0-23,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-24,Account #olt-xg01-0-24,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-25,Account #olt-xg01-0-25,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-26,Account #olt-xg01-0-26,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg01-0-27,Account #olt-xg01-0-27,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-00,Account #olt-xg02-3-00,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-01,Account #olt-xg02-3-01,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-02,Account #olt-xg02-3-02,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-03,Account #olt-xg02-3-03,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-04,Account #olt-xg02-3-04,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-05,Account #olt-xg02-3-05,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-06,Account #olt-xg02-3-06,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-07,Account #olt-xg02-3-07,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-08,Account #olt-xg02-3-08,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-09,Account #olt-xg02-3-09,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-10,Account #olt-xg02-3-10,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-11,Account #olt-xg02-3-11,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-12,Account #olt-xg02-3-12,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-13,Account #olt-xg02-3-13,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-14,Account #olt-xg02-3-14,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-15,Account #olt-xg02-3-15,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-16,Account #olt-xg02-3-16,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-17,Account #olt-xg02-3-17,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-18,Account #olt-xg02-3-18,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-19,Account #olt-xg02-3-19,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-20,Account #olt-xg02-3-20,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-21,Account #olt-xg02-3-21,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-22,Account #olt-xg02-3-22,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-23,Account #olt-xg02-3-23,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-24,Account #olt-xg02-3-24,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-25,Account #olt-xg02-3-25,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-26,Account #olt-xg02-3-26,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-27,Account #olt-xg02-3-27,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-28,Account #olt-xg02-3-28,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-29,Account #olt-xg02-3-29,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-30,Account #olt-xg02-3-30,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:olt-xg02-3-31,Account #olt-xg02-3-31,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:tower-00,Account #tower-00,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:tower-01,Account #tower-01,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:tower-02,Account #tower-02,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:tower-03,Account #tower-03,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:tower-04,Account #tower-04,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:tower-05,Account #tower-05,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:biz-00,Account #biz-00,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:biz-01,Account #biz-01,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:biz-02,Account #biz-02,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:biz-03,Account #biz-03,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:biz-04,Account #biz-04,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:biz-05,Account #biz-05,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:biz-06,Account #biz-06,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
sub:biz-07,Account #biz-07,Commercial Enterprise,site:gldt,1,3500.0,ACTIVE
