LINK_ID,SOURCE_NODE_ID,TARGET_NODE_ID,RELATIONSHIP_TYPE,SPEED_GBPS,PROTECTION_ROLE,IS_SPOF_RISK,LINK_STATUS,PROPERTIES_JSON
link-1,def:evpn-qinq,case:jnpr-evpn-qinq,TRACKED_BY,10,protected,False,UP,"{""source"": ""vendor_portal"", ""method"": ""vendor_export"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-2,sw:junos-23.4R2,def:evpn-qinq,AFFECTED_BY,10,protected,False,UP,"{""source"": ""vendor_bulletin"", ""method"": ""manual"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-3,sw:junos-23.4R2,def:acx-234-locker,AFFECTED_BY,10,protected,False,UP,"{""source"": ""vendor_bulletin"", ""method"": ""manual"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-4,site:gldt,dev:mx960-gldt,CONTAINS,10,protected,False,UP,"{""source"": ""inventory_review"", ""method"": ""vendor_export"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-5,dev:mx960-gldt,sw:junos-24.4R1-S3.6,RUNS,10,protected,False,UP,"{""source"": ""inventory_review"", ""method"": ""vendor_export"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-6,dev:mx960-gldt,port:mx960-gldt:et-0/0/0,HAS_PORT,10,protected,False,UP,"{""source"": ""config_backup"", ""method"": ""config_parse"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-7,dev:mx960-gldt,port:mx960-gldt:et-0/0/1,HAS_PORT,10,protected,False,UP,"{""source"": ""config_backup"", ""method"": ""config_parse"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-8,dev:mx960-gldt,port:mx960-gldt:et-0/0/2,HAS_PORT,10,protected,False,UP,"{""source"": ""config_backup"", ""method"": ""config_parse"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-9,dev:mx960-gldt,port:mx960-gldt:et-0/0/3,HAS_PORT,10,protected,False,UP,"{""source"": ""config_backup"", ""method"": ""config_parse"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
link-10,dev:mx960-gldt,port:mx960-gldt:et-0/0/4,HAS_PORT,10,protected,False,UP,"{""source"": ""config_backup"", ""method"": ""config_parse"", ""observed_at"": ""2026-05-15T00:00:00+00:00"", ""valid_from"": ""2026-05-15T00:00:00+00:00"", ""valid_to"": null, ""confidence"": 1.0}"
